Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66124,2006,4,10,24.2,1,Y
IDCJAC0010,66124,2006,4,11,30.6,1,Y
IDCJAC0010,66124,2006,4,12,32.3,1,Y
IDCJAC0010,66124,2006,4,13,24,1,Y
IDCJAC0010,66124,2006,4,14,27.8,1,Y
IDCJAC0010,66124,2006,4,15,23.1,1,Y
IDCJAC0010,66124,2006,4,16,22,1,Y
IDCJAC0010,66124,2006,4,17,25.4,1,Y
IDCJAC0010,66124,2006,4,18,26.7,1,Y
IDCJAC0010,66124,2006,4,19,33,1,Y
IDCJAC0010,66124,2006,4,20,28.3,1,Y
IDCJAC0010,66124,2006,4,21,24.8,1,Y
IDCJAC0010,66124,2006,4,22,20.7,1,Y
IDCJAC0010,66124,2006,4,23,22,1,Y
IDCJAC0010,66124,2006,4,24,20.2,1,Y
IDCJAC0010,66124,2006,4,25,19.3,1,Y
IDCJAC0010,66124,2006,4,26,20.3,1,Y
IDCJAC0010,66124,2006,4,27,21,1,Y
IDCJAC0010,66124,2006,4,28,22.2,1,Y
IDCJAC0010,66124,2006,4,29,25,1,Y
IDCJAC0010,66124,2006,4,30,22.7,1,Y
IDCJAC0010,66124,2006,5,1,22.9,1,Y
IDCJAC0010,66124,2006,5,2,23.5,1,Y
IDCJAC0010,66124,2006,5,3,25.5,1,Y
IDCJAC0010,66124,2006,5,4,24.5,1,Y
IDCJAC0010,66124,2006,5,5,26,1,Y
IDCJAC0010,66124,2006,5,6,22.9,1,Y
IDCJAC0010,66124,2006,5,7,26,1,Y
IDCJAC0010,66124,2006,5,8,18.4,1,Y
IDCJAC0010,66124,2006,5,9,21.2,1,Y
IDCJAC0010,66124,2006,5,10,23.1,1,Y
IDCJAC0010,66124,2006,5,11,17.8,1,Y
IDCJAC0010,66124,2006,5,12,17.9,1,Y
IDCJAC0010,66124,2006,5,13,22.5,1,Y
IDCJAC0010,66124,2006,5,14,21.2,1,Y
IDCJAC0010,66124,2006,5,15,19.2,1,Y
IDCJAC0010,66124,2006,5,16,19.5,1,Y
IDCJAC0010,66124,2006,5,17,21.7,1,Y
IDCJAC0010,66124,2006,5,18,21.4,1,Y
IDCJAC0010,66124,2006,5,19,24.3,1,Y
IDCJAC0010,66124,2006,5,20,21,1,Y
IDCJAC0010,66124,2006,5,21,20.8,1,Y
IDCJAC0010,66124,2006,5,22,18.8,1,Y
IDCJAC0010,66124,2006,5,23,16,1,Y
IDCJAC0010,66124,2006,5,24,20.8,1,Y
IDCJAC0010,66124,2006,5,25,21.4,1,Y
IDCJAC0010,66124,2006,5,26,20.3,1,Y
IDCJAC0010,66124,2006,5,27,17.7,1,Y
IDCJAC0010,66124,2006,5,28,19.2,1,Y
IDCJAC0010,66124,2006,5,29,18,1,Y
IDCJAC0010,66124,2006,5,30,16.5,1,Y
IDCJAC0010,66124,2006,5,31,18.5,1,Y
IDCJAC0010,66124,2006,6,1,19,1,Y
IDCJAC0010,66124,2006,6,2,15.2,1,Y
IDCJAC0010,66124,2006,6,3,17.5,1,Y
IDCJAC0010,66124,2006,6,4,17.5,1,Y
IDCJAC0010,66124,2006,6,5,13.3,1,Y
IDCJAC0010,66124,2006,6,6,17,1,Y
IDCJAC0010,66124,2006,6,7,17.9,1,Y
IDCJAC0010,66124,2006,6,8,19.2,1,Y
IDCJAC0010,66124,2006,6,9,16.4,1,Y
IDCJAC0010,66124,2006,6,10,14.5,1,Y
IDCJAC0010,66124,2006,6,11,13.3,1,Y
IDCJAC0010,66124,2006,6,12,16.5,1,Y
IDCJAC0010,66124,2006,6,13,19,1,Y
IDCJAC0010,66124,2006,6,14,18,1,Y
IDCJAC0010,66124,2006,6,15,18.3,1,Y
IDCJAC0010,66124,2006,6,16,19,1,Y
IDCJAC0010,66124,2006,6,17,17.8,1,Y
IDCJAC0010,66124,2006,6,18,18.5,1,Y
IDCJAC0010,66124,2006,6,19,16.9,1,Y
IDCJAC0010,66124,2006,6,20,19.5,1,Y
IDCJAC0010,66124,2006,6,21,15,1,Y
IDCJAC0010,66124,2006,6,22,15.3,1,Y
IDCJAC0010,66124,2006,6,23,17,1,Y
IDCJAC0010,66124,2006,6,24,18.1,1,Y
IDCJAC0010,66124,2006,6,25,16,1,Y
IDCJAC0010,66124,2006,6,26,16.8,1,Y
IDCJAC0010,66124,2006,6,27,18.3,1,Y
IDCJAC0010,66124,2006,6,28,18.4,1,Y
IDCJAC0010,66124,2006,6,29,19.4,1,Y
IDCJAC0010,66124,2006,6,30,14,1,Y
IDCJAC0010,66124,2006,7,1,19.1,1,Y
IDCJAC0010,66124,2006,7,2,17.7,1,Y
IDCJAC0010,66124,2006,7,3,18.7,1,Y
IDCJAC0010,66124,2006,7,4,16,1,Y
IDCJAC0010,66124,2006,7,5,19.5,1,Y
IDCJAC0010,66124,2006,7,6,19.5,1,Y
IDCJAC0010,66124,2006,7,7,17.4,1,Y
IDCJAC0010,66124,2006,7,8,17,1,Y
IDCJAC0010,66124,2006,7,9,17,1,Y
IDCJAC0010,66124,2006,7,10,21,1,Y
IDCJAC0010,66124,2006,7,11,23.2,1,Y
IDCJAC0010,66124,2006,7,12,17.5,1,Y
IDCJAC0010,66124,2006,7,13,16.4,1,Y
IDCJAC0010,66124,2006,7,14,15,1,Y
IDCJAC0010,66124,2006,7,15,15.1,1,Y
IDCJAC0010,66124,2006,7,16,18.2,1,Y
