"","Focal_ID","Date","Focal_obs","KPC_obs","Swelling","Age","AgeClass","Sex","Focal_Start_Time","Focal_End_Time","AMnest","PMnest","AMtime","PMtime","reprostat","Birthday","Date First Seen","Date Last Seen","Infant ID","Infant Birthday","gest_start","gest_end","lact_start","lact2_end","lact_end","G+L period start","G + L period end","NPNL period start","NPNL period end","Notes","reprostat1","reprostat2","reprostat3"
"19","TG","06-Sep-09","FM","KJ",1,27.2,"young",FALSE,07:30:00,19:17:00,0,2,NA,19:17:00,NA,"02-Jul-80","14-May-93",NA,"TS","23-Jan-05","07-Jun-04","23-Jan-05","23-Jan-05","23-Jan-07",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"20","TG","06-Sep-09","FM","KJ",1,27.2,"young",FALSE,07:30:00,19:17:00,0,2,NA,19:17:00,NA,"02-Jul-80","14-May-93",NA,"TD","12-Jun-09","25-Oct-08","12-Jun-09","12-Jun-09","12-Jun-11",NA,NA,NA,NA,NA,"*died 20-Jan-11",FALSE,FALSE,FALSE
"21","TG","06-Sep-09","FM","KJ",1,27.2,"young",FALSE,07:30:00,19:17:00,0,2,NA,19:17:00,NA,"02-Jul-80","14-May-93",NA,"TR","12-Nov-11","27-Mar-11","12-Nov-11","12-Nov-11","11-Nov-13",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"22","UM","10-Sep-09","SM","FM",1,29.2,"young",FALSE,06:55:00,18:26:00,0,1,NA,18:26:00,NA,"02-Jul-81","28-Dec-95",NA,"UN","01-Nov-04","16-Mar-04","01-Nov-04","01-Nov-04","01-Nov-06",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"23","UM","10-Sep-09","SM","FM",1,29.2,"young",FALSE,06:55:00,18:26:00,0,1,NA,18:26:00,NA,"02-Jul-81","28-Dec-95",NA,"UI","04-Dec-09","18-Apr-09","04-Dec-09","04-Dec-09","04-Dec-11",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"24","UM","10-Sep-09","SM","FM",1,29.2,"young",FALSE,06:55:00,18:26:00,0,1,NA,18:26:00,NA,"02-Jul-81","28-Dec-95",NA,"UK","06-Apr-11","19-Aug-10","06-Apr-11","06-Apr-11","05-Apr-13",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"25","UM","10-Sep-09","SM","FM",1,29.2,"young",FALSE,06:55:00,18:26:00,0,1,NA,18:26:00,NA,"02-Jul-81","28-Dec-95",NA,"UR","14-Feb-15","29-Jun-14","14-Feb-15","14-Feb-15","13-Feb-17",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"26","WA","11-Sep-09","SJ","SM",1,17.2,"young",FALSE,06:56:00,17:33:00,2,1,07:04:00,17:33:00,NA,"02-Jul-91","25-Nov-04",NA,"WE","22-Jun-07","04-Nov-06","22-Jun-07","22-Jun-07","21-Jun-09",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"27","WA","11-Sep-09","SJ","SM",1,17.2,"young",FALSE,06:56:00,17:33:00,2,1,07:04:00,17:33:00,NA,"02-Jul-91","25-Nov-04",NA,"WZ","25-May-12","08-Oct-11","25-May-12","25-May-12","25-May-14",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"28","WL","19-Sep-09","SM","SJ",1,20.3,"young",FALSE,06:25:00,17:14:00,1,1,06:26:00,17:14:00,NA,"02-Jul-92","24-Oct-05",NA,"WC","05-Aug-08","19-Dec-07","05-Aug-08","05-Aug-08","05-Aug-10",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"29","WL","19-Sep-09","SM","SJ",1,20.3,"young",FALSE,06:25:00,17:14:00,1,1,06:26:00,17:14:00,NA,"02-Jul-92","24-Oct-05",NA,"WO","10-Feb-15","25-Jun-14","10-Feb-15","10-Feb-15","09-Feb-17",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
