"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2006/12/7",8,25,0,61,60,34,58,36,94
"2006/12/8",12,42,0,64,72,46,71,47,118
"2006/12/9",7,47,0,67,59,62,81,40,121
"2006/2/1",5,12,0,56,59,14,43,30,73
"2006/2/10",11,22,0,65,71,27,68,30,98
"2006/2/11",3,30,0,74,60,47,70,37,107
"2006/2/12",7,30,0,91,67,61,87,41,128
"2006/2/13",10,16,0,53,61,18,48,31,79
"2006/2/14",7,31,0,51,68,21,59,30,89
"2006/2/15",1,28,0,58,69,18,54,33,87
"2006/2/16",2,24,0,54,59,21,54,26,80
"2006/2/17",9,33,0,58,61,39,59,41,100
"2006/2/18",8,44,0,89,68,73,97,44,141
"2006/2/19",11,55,2,74,81,61,85,57,142
"2006/2/2",4,36,0,49,61,28,52,37,89
"2006/2/20",4,25,1,58,68,20,47,41,88
"2006/2/21",4,32,1,40,62,15,47,30,77
"2006/2/22",5,49,1,53,83,25,67,41,108
"2006/2/23",6,36,0,62,83,21,67,37,104
"2006/2/24",7,27,0,62,60,36,67,29,96
"2006/2/25",9,42,0,106,88,69,99,58,157
"2006/2/26",7,40,0,81,62,66,84,44,128
"2006/2/27",7,27,0,61,71,24,57,38,95
"2006/2/28",9,25,1,58,67,26,52,41,93
"2006/2/3",16,26,0,63,70,35,70,35,105
"2006/2/4",8,41,0,76,66,59,86,39,125
"2006/2/5",8,38,0,83,64,65,74,55,129
"2006/2/6",13,26,1,51,63,28,46,45,91
"2006/2/7",9,14,0,64,67,20,52,35,87
"2006/2/8",8,21,0,43,49,23,43,29,72
"2006/2/9",4,22,0,63,61,28,70,19,89
"2006/3/1",3,18,0,57,60,18,48,30,78
"2006/3/10",8,23,1,59,46,45,53,38,91
"2006/3/11",10,46,0,75,56,75,93,38,131
"2006/3/12",7,40,0,82,66,63,81,48,129
"2006/3/13",3,24,0,52,68,11,48,31,79
"2006/3/14",5,22,0,58,63,22,52,33,85
"2006/3/15",6,17,0,50,54,19,43,30,73
"2006/3/16",7,23,0,51,57,24,57,24,81
"2006/3/17",12,28,0,41,42,39,44,37,81
"2006/3/18",4,38,0,84,58,68,87,39,126
"2006/3/19",5,47,0,75,70,57,81,46,127
"2006/3/2",2,24,0,49,51,24,54,21,75
"2006/3/20",5,21,0,56,57,25,52,30,82
"2006/3/21",6,20,0,41,54,13,37,30,67
"2006/3/22",7,25,0,60,56,36,67,25,92
"2006/3/23",5,31,0,49,58,27,49,36,85
"2006/3/24",9,39,0,55,50,53,58,45,103
"2006/3/25",5,37,0,88,55,75,78,52,130
"2006/3/26",5,51,1,66,53,70,79,44,123
"2006/3/27",5,23,1,56,61,24,47,38,85
"2006/3/28",12,28,0,56,69,27,54,42,96
"2006/3/29",7,32,0,42,64,17,52,29,81
"2006/3/3",3,27,0,55,56,29,62,23,85
"2006/3/30",10,27,0,52,59,30,50,39,89
"2006/3/31",1,27,0,54,54,28,65,17,82
"2006/3/4",7,58,0,90,81,74,100,55,155
"2006/3/5",15,50,0,85,83,67,92,58,150
"2006/3/6",3,24,0,70,78,19,60,37,97
"2006/3/7",1,22,0,44,51,16,49,18,67
"2006/3/8",10,19,0,55,71,13,56,28,84
"2006/3/9",9,36,0,39,53,31,51,33,84
"2006/4/1",10,46,0,76,52,80,95,37,132
"2006/4/10",6,16,0,36,46,12,36,22,58
"2006/4/11",4,22,1,61,71,17,64,24,88
"2006/4/12",10,19,0,54,66,17,45,38,83
"2006/4/13",5,29,0,61,59,36,64,31,95
"2006/4/14",7,35,0,76,54,64,81,37,118
"2006/4/15",8,22,0,53,46,37,55,28,83
"2006/4/16",9,34,1,68,47,65,67,45,112
"2006/4/17",4,20,0,48,40,32,43,29,72
"2006/4/18",8,19,0,55,60,22,49,33,82
"2006/4/19",4,20,0,50,51,23,46,28,74
"2006/4/2",4,27,0,49,46,34,42,38,80
"2006/4/20",3,20,0,41,41,23,41,23,64
"2006/4/21",7,24,0,59,59,31,59,31,90
"2006/4/22",13,31,0,69,62,51,72,41,113
"2006/4/23",4,23,0,67,46,48,61,33,94
"2006/4/24",8,20,0,31,36,23,26,33,59
"2006/4/25",6,24,1,82,45,68,72,41,113
"2006/4/26",5,22,0,41,48,20,48,20,68
"2006/4/27",7,26,0,40,58,15,42,31,73
"2006/4/28",3,18,0,50,47,24,53,18,71
"2006/4/29",1,30,0,53,38,46,52,32,84
"2006/4/3",4,27,1,49,56,25,51,30,81
"2006/4/30",7,26,0,64,51,46,67,30,97
"2006/4/4",9,13,1,52,63,12,41,34,75
"2006/4/5",4,32,1,55,67,25,56,36,92
"2006/4/6",4,23,0,47,59,15,57,17,74
"2006/4/7",2,35,0,60,61,36,67,30,97
"2006/4/8",4,29,0,67,53,47,70,30,100
"2006/4/9",7,36,0,61,59,45,70,34,104
"2006/5/1",4,28,0,50,60,22,45,37,82
"2006/5/10",7,36,0,47,65,25,44,46,90
"2006/5/11",3,20,0,33,38,18,39,17,56
"2006/5/12",5,24,0,52,53,28,65,16,81
"2006/5/13",7,19,0,52,39,39,50,28,78
"2006/5/14",7,27,0,61,48,47,51,44,95
"2006/5/15",4,7,0,37,40,8,27,21,48
"2006/5/16",11,22,0,36,57,12,43,26,69
"2006/5/17",7,22,0,60,55,34,65,24,89
"2006/5/18",6,16,0,68,48,42,72,18,90
"2006/5/19",10,28,0,63,60,41,68,33,101
"2006/5/2",2,20,0,41,53,10,36,27,63
"2006/5/20",8,39,0,50,43,54,63,34,97
"2006/5/21",5,33,0,61,48,51,64,35,99
"2006/5/22",1,22,0,47,57,13,35,35,70
"2006/5/23",5,21,0,36,48,14,40,22,62
