3,4
4,5
3,4
10,13
3,4
5,7
7,9
4,5
8,10
9,12
8,10
3,4
4,5
5,7
8,11
3,4
4,5
4,5
8,11
6,8
5,7
7,9
5,7
6,8
3,4
18,23
10,13
3,4
8,10
4,5
4,5
3,4
8,10
4,5
4,5
4,5
8,11
5,7
6,8
5,7
8,11
3,4
18,25
14,19
4,5
4,5
8,11
4,5
7,9
6,8
3,4
3,4
14,18
12,16
3,4
4,5
7,9
16,20
3,4
4,5
10,14
25,33
4,5
3,4
3,4
11,14
4,5
10,13
4,5
4,5
3,4
4,5
6,8
3,4
15,19
14,19
15,20
3,4
8,10
6,8
9,12
25,34
24,31
8,10
4,5
8,11
5,7
11,14
24,33
4,5
4,5
12,15
8,10
3,4
3,4
4,5
10,14
4,5
3,4
6,8
4,5
3,4
3,4
8,10
8,10
4,5
8,10
4,5
10,13
4,5
4,5
6,8
10,13
4,5
5,7
4,5
6,8
3,4
6,8
3,4
17,23
4,5
3,4
3,4
15,20
8,11
3,4
13,17
4,5
11,14
10,13
4,5
4,5
3,4
5,7
3,4
7,9
8,10
4,5
5,7
3,4
8,11
3,4
4,5
9,12
8,10
3,4
4,5
4,5
17,24
28,35
8,11
3,4
8,10
6,8
5,7
5,7
10,13
4,5
5,7
6,8
8,10
20,25
10,13
11,14
4,5
13,17
3,4
10,13
4,5
24,30
7,9
4,5
8,11
3,4
4,5
3,4
11,14
10,13
8,10
11,14
9,12
4,5
5,7
11,14
3,4
19,27
12,15
4,5
9,12
5,7
5,7
3,4
6,8
3,4
14,18
8,10
6,8
12,16
3,4
4,5
9,12
7,9
4,5
26,33
5,7
5,7
3,4
4,5
5,7
10,13
11,15
9,12
5,7
4,5
4,5
4,5
3,4
8,11
6,8
4,5
12,15
3,4
4,5
27,34
10,13
8,10
3,4
13,17
4,5
11,14
3,4
11,14
3,4
3,4
3,4
4,5
3,4
12,16
3,4
4,5
5,7
8,11
3,4
4,5
3,4
6,8
12,17
3,4
6,8
12,15
3,4
4,5
6,8
10,14
9,12
7,9
3,4
5,7
12,17
8,11
4,5
8,11
7,9
4,5
3,4
3,4
4,5
3,4
3,4
13,18
4,5
6,8
3,4
15,20
6,8
4,5
19,24
6,8
3,4
10,13
12,17
10,13
5,7
4,5
4,5
3,4
4,5
3,4
8,10
13,17
10,13
8,10
7,9
3,4
4,5
3,4
16,21
4,5
6,8
9,12
3,4
8,10
8,10
4,5
9,12
15,20
6,8
3,4
4,5
3,4
11,15
24,31
6,8
5,7
8,11
9,12
6,8
12,16
3,4
3,4
7,9
24,32
7,9
6,8
5,7
5,7
4,5
4,5
6,8
5,7
3,4
3,4
3,4
11,15
15,20
12,15
5,7
8,11
4,5
5,7
5,7
4,5
10,14
12,16
16,20
5,7
3,4
4,5
3,4
7,9
3,4
4,5
8,10
5,7
4,5
13,17
