Min
6.6
6.6
6.6
6.7
6.5
6.6
6.6
6.5
6.5
6.6
6.4
6.6
6.6
6.6
6.6
6.6
6.4
6.5
6.6
6.6
5.6
5.8
5.6
5.6
5.5
5.7
5.5
5.4
5.6
5.6
5.4
5.7
5.6
5.7
5.5
5.5
5.6
5.7
5.6
5.6
4.1
3.9
4.0
3.9
3.8
4.1
4.1
3.9
4.0
4.1
4.0
3.9
4.2
4.0
3.9
3.8
4.1
4.0
4.1
3.9
3.7
3.7
3.6
3.5
3.5
3.7
3.7
3.8
3.7
3.6
3.5
3.8
3.9
3.7
3.9
3.7
3.8
3.5
3.7
3.7
5.9
3.3
3.1
4.8
4.0
4.7
4.6
4.4
5.6
4.2
3.8
3.8
4.9
5.0
6.1
6.2
6.3
3.2
2.6
5.3
